Timestamp,q.w,q.i,q.j,q.k,euler
1716936526109,0.999904,-0.003814814,-0.01330607,0.0005798517,[179.92771797   1.52454342  -0.43814704]
1716936526109,0.999896,-0.004058962,-0.01382488,0.0005798517,[179.92710265   1.58398193  -0.46617632]
1716936526109,0.9998947,-0.003845332,-0.01397748,0.0005798517,[179.92737342   1.60148574  -0.44170189]
1716936526109,0.9998965,-0.003723258,-0.01388592,0.0005798517,[179.92760836   1.59100155  -0.42770129]
1716936526109,0.9999033,-0.003784295,-0.01336711,0.0006103702,[179.92423978   1.53152757  -0.43470073]
1716936526109,0.9999065,-0.003997925,-0.01306192,0.0006103702,[179.9240533    1.49653639  -0.45916076]
1716936526109,0.9999115,-0.003723258,-0.01275674,0.0006103702,[179.92459565   1.46158348  -0.42765154]
1716936526109,0.999913,-0.003509629,-0.0126957,0.0006408887,[179.92143473   1.45459211  -0.40320454]
1716936526109,0.9999098,-0.003448592,-0.01297037,0.0006408887,[179.92141412   1.48607399  -0.39623281]
1716936526109,0.9999081,-0.003326518,-0.01312296,0.0006408887,[179.92153691   1.50357067  -0.3822541 ]
1716936526109,0.999908,-0.003387555,-0.01312296,0.0006408887,[179.92144512   1.50356572  -0.38925022]
1716936526109,0.9999115,-0.003265481,-0.01287881,0.0006408887,[179.92172087   1.47559568  -0.3752364 ]
1716936526109,0.9999097,-0.003204443,-0.0130314,0.0006714072,[179.91825641   1.49307612  -0.36829917]
1716936526109,0.9999183,-0.003509629,-0.01226844,0.0006714072,[179.91810996   1.40561593  -0.40320961]
1716936526109,0.9999166,-0.00369274,-0.01236,0.0007019257,[179.91431554   1.41608053  -0.42424912]
1716936526109,0.9999182,-0.003662221,-0.01223792,0.0007019257,[179.91441041   1.40209287  -0.42073936]
1716936526109,0.999917,-0.003753777,-0.01229896,0.0007324442,[179.9107576    1.40906714  -0.43128226]
1716936526109,0.9999173,-0.003875851,-0.01223792,0.0007324442,[179.91061287   1.40206107  -0.44526805]
1716936526109,0.9999167,-0.004119999,-0.0122074,0.0007324442,[179.91028498   1.39854163  -0.47324876]
1716936526109,0.9999174,-0.004119999,-0.01214637,0.0007324442,[179.910314     1.39154771  -0.4732426 ]
1716936526109,0.9999118,-0.004211554,-0.01257363,0.0007629627,[179.90648089   1.44048828  -0.48382391]
1716936526109,0.99991,-0.004272591,-0.0126957,0.0007629627,[179.90633271   1.45447174  -0.4908329 ]
1716936526109,0.9999051,-0.004394665,-0.0130314,0.0007629627,[179.90598475   1.49293156  -0.50486099]
1716936526109,0.999902,-0.004394665,-0.01327555,0.0007629627,[179.90586083   1.52091105  -0.50488716]
1716936526109,0.999901,-0.004333628,-0.01336711,0.0007629627,[179.90590786   1.5314097   -0.49790078]
1716936526109,0.9999037,-0.004058962,-0.01324503,0.0007629627,[179.90638589   1.51744515  -0.46640475]
1716936526109,0.9999043,-0.004028443,-0.01321451,0.0007629627,[179.90644643   1.51395029  -0.46290332]
1716936526109,0.999905,-0.003936888,-0.013184,0.0007629627,[179.90659896   1.51046248  -0.45240588]
1716936526109,0.9999049,-0.003753777,-0.01324503,0.0007629627,[179.90684915   1.51747364  -0.43142367]
1716936526109,0.9999037,-0.003540147,-0.01339763,0.0007629627,[179.90711093   1.53498153  -0.40695268]
1716936526109,0.9999022,-0.003601184,-0.01348918,0.0007629627,[179.90697906   1.54546767  -0.41395849]
1716936526109,0.9999035,-0.003601184,-0.01339763,0.0007629627,[179.90701721   1.53497583  -0.41394893]
1716936526109,0.9999042,-0.003631703,-0.01333659,0.0007629627,[179.906996     1.52797776  -0.41744075]
1716936526109,0.9999028,-0.003540147,-0.01345866,0.0007629627,[179.90708593   1.54197576  -0.40695906]
1716936526109,0.9999021,-0.003509629,-0.0135197,0.0007629627,[179.90710821   1.54897383  -0.40346731]
1716936526109,0.9999021,-0.003540147,-0.0135197,0.0007324442,[179.91055903   1.54898328  -0.40691807]
1716936526109,0.9999017,-0.003631703,-0.0135197,0.0007324442,[179.91041716   1.5489752   -0.41741259]
1716936526109,0.9999003,-0.00369274,-0.01361126,0.0007324442,[179.91028349   1.55946252  -0.42441812]
1716936526109,0.9999022,-0.003723258,-0.01345866,0.0007324442,[179.91030157   1.54197172  -0.42790077]
1716936526109,0.9999034,-0.003631703,-0.01339763,0.0007324442,[179.91046843   1.53498575  -0.41740026]
1716936526109,0.9999014,-0.003723258,-0.0135197,0.0007324442,[179.9102753    1.54896693  -0.42790695]
1716936526109,0.9999009,-0.003631703,-0.01358074,0.0007324442,[179.91039152   1.55597042  -0.41741874]
1716936526109,0.9999024,-0.00369274,-0.01345866,0.0007324442,[179.91034865   1.54197432  -0.42440266]
1716936526109,0.999902,-0.003570666,-0.0135197,0.0007324442,[179.91051174   1.54898054  -0.41041627]
1716936526109,0.9999014,-0.003601184,-0.01355022,0.0007324442,[179.91045173   1.55247556  -0.41391746]
1716936526109,0.9999015,-0.00369274,-0.0135197,0.0007324442,[179.91032258   1.54896969  -0.42440887]
1716936526109,0.9999028,-0.003662221,-0.01342814,0.0007324442,[179.91040864   1.53847962  -0.42090144]
1716936526109,0.9999065,-0.003662221,-0.01315348,0.0007324442,[179.91052495   1.50700327  -0.42087374]
1716936526109,0.9999063,-0.003723258,-0.01315348,0.0007324442,[179.91043294   1.50699777  -0.42786992]
1716936526109,0.9999064,-0.00369274,-0.01315348,0.0007324442,[179.91047895   1.50700052  -0.42437189]
1716936526109,0.9999067,-0.003723258,-0.01312296,0.0007324442,[179.91044608   1.50350016  -0.42786684]
1716936526109,0.9999074,-0.003631703,-0.01309244,0.0007019257,[179.91409463   1.50002357  -0.4173238 ]
1716936526109,0.9999067,-0.003631703,-0.01315348,0.0007019257,[179.91406901   1.50701864  -0.41732967]
