Timestamp,q.w,q.i,q.j,q.k,euler
1717193247917,0.7331091,-0.0130314,0.6799829,-0.002105777,[-164.53921428  -85.52279718  -16.34675721]
1717193247917,0.7331941,-0.0130314,0.6798913,-0.002105777,[-164.58925524  -85.50902318  -16.29672039]
1717193247917,0.7332525,-0.01293985,0.6798303,-0.002014222,[-164.80486382  -85.5037335   -16.08111384]
1717193247917,0.7332531,-0.01290933,0.6798303,-0.001983703,[-164.86575603  -85.50501829  -16.02022118]
1717193247917,0.7333952,-0.01287881,0.6796777,-0.001953185,[-165.00757494  -85.48331391  -15.87840869]
1717193247917,0.7334788,-0.01293985,0.6795862,-0.002014222,[-164.93476993  -85.46698867  -15.9512189 ]
1717193247917,0.7335334,-0.0130314,0.6795251,-0.002105777,[-164.78613928  -85.45396206  -16.09985322]
1717193247917,0.7335328,-0.01306192,0.6795251,-0.002136296,[-164.72595299  -85.45267068  -16.16003997]
1717193247917,0.7334486,-0.0130314,0.6796167,-0.002105777,[-164.73735957  -85.46773451  -16.14862866]
1717193247917,0.7333903,-0.01312296,0.6796777,-0.002166814,[-164.55475161  -85.47367471  -16.33371001]
1717193247917,0.733333,-0.01315348,0.6797388,-0.002227851,[-164.42971516  -85.48086605  -16.45626948]
1717193247917,0.7332468,-0.01321451,0.6798303,-0.002288888,[-164.25835268  -85.49196576  -16.62762808]
1717193247917,0.7330765,-0.01324503,0.6800134,-0.002288888,[-164.12713448  -85.51878588  -16.76131305]
1717193247917,0.7329639,-0.01321451,0.6801355,-0.00225837,[-164.11947066  -85.53844185  -16.76897074]
1717193247917,0.7329934,-0.01315348,0.680105,-0.002227851,[-164.22717051  -85.53585122  -16.65879745]
1717193247917,0.7330236,-0.01306192,0.6800745,-0.002105777,[-164.45943365  -85.53592598  -16.42900881]
1717193247917,0.7330261,-0.01293985,0.6800745,-0.001983703,[-164.7045878   -85.54114214  -16.18385342]
